"id","arquivo_txt","scope","uf","municipio","lei_numero","lei_nome","data","url_integra","fonte","tipo_lei","url_usada_extracao","caracteres_txt","sha256_txt","validacao","regiao","ano"
1,"01_estadual_ac_lei_no_4_132_2023.txt","estadual","AC","","Lei nº 4.132/2023","Lei Estadual de Inovação do Acre","2023-07-17 00:00:00","https://legis.ac.gov.br/detalhar/5662","Assembleia Legislativa do Acre (ALEAC)","marco_cti_inovacao","https://legis.ac.gov.br/detalhar/5662",158166,"c75d6d880ad53ff84f8eb57f2f73044c2c00ce873232419e909cd848294b6599","ok","Norte","2023"
2,"02_estadual_al_lei_no_8_956_2023.txt","estadual","AL","","Lei nº 8.956/2023","Lei Estadual de Inovação de Alagoas","2023-09-04 00:00:00","https://sapl.al.al.leg.br/media/sapl/public/normajuridica/2023/2636/lei_no_8.956_de_4_de_setembro_de_2023.pdf","Assembleia Legislativa de Alagoas (ALE)","marco_cti_inovacao","https://sapl.al.al.leg.br/media/sapl/public/normajuridica/2023/2636/lei_no_8.956_de_4_de_setembro_de_2023.pdf",49362,"b1843dd766bc298e20e5c758a9b6eeadfa05afbc2ed569899934de0f78482042","ok","Nordeste","2023"
3,"03_estadual_am_lei_ordinaria_no_3_095_2006.txt","estadual","AM","","Lei Ordinária nº 3.095/2006","Lei Estadual de Inovação do Amazonas","2006-11-17 00:00:00","https://sapl.al.am.leg.br/media/sapl/public/normajuridica/2006/7550/7550_texto_integral.pdf","Assembleia Legislativa do Amazonas (ALEAM)","marco_cti_inovacao","https://sapl.al.am.leg.br/media/sapl/public/normajuridica/2006/7550/7550_texto_integral.pdf",21250,"1ba9a17e380b201954b1d4c4cb2574a5373599cbf5d637345539d5596142b874","ok","Norte","2006"
4,"04_estadual_ap_lei_ordinaria_no_2_333_2018.txt","estadual","AP","","Lei Ordinária nº 2.333/2018","Lei Estadual de Inovação do Amapá","2018-04-25 00:00:00","https://www.al.ap.gov.br/ver_texto_lei.php?iddocumento=87613","Assembleia Legislativa do Amapá (ALAP)","marco_cti_inovacao","https://www.al.ap.gov.br/ver_texto_lei.php?iddocumento=87613",42899,"36df75221ec08b590240e10b4992586147c01c486912a6d8455752742aa0974a","ok","Norte","2018"
5,"05_estadual_ba_lei_no_14_315_2021.txt","estadual","BA","","Lei nº 14.315/2021","Lei Estadual de Inovação da Bahia","2021-06-17 00:00:00","https://www.ba.gov.br/secti/sites/site-secti/files/2025-06/di%C3%A1rio%20oficial.pdf","Secretaria de Ciência, Tecnologia e inovação da Bahia (SECTI/BA)","marco_cti_inovacao","https://www.ba.gov.br/secti/sites/site-secti/files/2025-06/di%C3%A1rio%20oficial.pdf",124483,"bf9f399c01f0d848080968fb044e478a4d1045a616bc56ccef6c937b8ef8af54","ok","Nordeste","2021"
6,"06_estadual_ce_lei_no_14_220_2008.txt","estadual","CE","","Lei nº 14.220/2008","Lei Estadual de Inovação do Ceará","2008-10-16 00:00:00","https://belt.al.ce.gov.br/index.php/legislacao-do-ceara/organizacao-tematica/ciencia-e-tecnologia-e-educacao-superior/item/10826-lei-complementar-n-335-de-07-10-2024-d-o-07-10-2024","Assembleia Legislativa do Ceará (ALECE)","marco_cti_inovacao","https://belt.al.ce.gov.br/index.php/legislacao-do-ceara/organizacao-tematica/ciencia-e-tecnologia-e-educacao-superior/item/10826-lei-complementar-n-335-de-07-10-2024-d-o-07-10-2024",85121,"3c86a5d001a45b287d61154ca0394fce56932e50ef1bd130954ffe2d3e3639d4","ok","Nordeste","2008"
7,"07_estadual_df_lei_no_6_620_2020.txt","estadual","DF","","Lei nº 6.620/2020","Lei Distrital de Ciência, Tecnologia e Inovação","2020-06-10 00:00:00","https://www.sinj.df.gov.br/sinj/Norma/2f476c9919c0485aa7e2373dac2977de/Lei_6620_10_06_2020.html","Sistema Integrado de Normas Jurídicas do DF (SINJ-DF)","marco_cti_inovacao","https://www.sinj.df.gov.br/sinj/Norma/2f476c9919c0485aa7e2373dac2977de/Lei_6620_10_06_2020.html",39024,"4fef8c5426e06741fe2165d941265d4a6e7912af561fbae9d6027be5db5725d8","ok","Centro-Oeste","2020"
8,"08_estadual_es_lei_complementar_no_642_2012.txt","estadual","ES","","Lei Complementar nº 642/2012","Lei Estadual de Inovação do Espírito Santo","2012-10-15 00:00:00","https://www3.al.es.gov.br/Arquivo/Documents/legislacao/html/LEC6422012.html?identificador=330030003400350036003A004C00","Assembleia Legislativa do Espírito Santo (ALES)","marco_cti_inovacao","https://www3.al.es.gov.br/Arquivo/Documents/legislacao/html/LEC6422012.html?identificador=330030003400350036003A004C00",278367,"bfcf9c261cafc2e21a17819b5f7468a3b8553b2e15764fdd9da3ff77cc80156f","ok","Sudeste","2012"
9,"09_estadual_go_lei_no_21_615_2022.txt","estadual","GO","","Lei nº 21.615/2022","Lei Estadual de Inovação de Goiás","2022-11-07 00:00:00","https://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/106312/pdf","Casa Civil do Estado de Goiás","marco_cti_inovacao","https://legisla.casacivil.go.gov.br/api/v2/pesquisa/legislacoes/106312/pdf",76944,"996de0c0dd39984afcc23c1c15f82942e995d8545a9ed9b0f4c886233a871bea","ok","Centro-Oeste","2022"
10,"10_estadual_ma_lei_no_11_733_2022.txt","estadual","MA","","Lei nº 11.733/2022","Lei Estadual de Inovação do Maranhão","2022-05-26 00:00:00","https://dados.uema.br/wp-content/uploads/2023/11/LEI_11733_Marco_Ciencia_Tecnologia.pdf","Universidade Estadual do Maranhão (UEMA)","marco_cti_inovacao","https://dados.uema.br/wp-content/uploads/2023/11/LEI_11733_Marco_Ciencia_Tecnologia.pdf",53334,"6b9b6a568e19f10eba2a591d29fc13e171cf1f33f638223ccf33f89afea1c55f","ok","Nordeste","2022"
