"recorte","unidade","termo_a","termo_b","coocorrencias","associacao_ochiai"
"agg_nacional","article","inovacao","tecnologia",1102,0.797
"agg_nacional","article","inovacao","desenvolvimento",944,0.725
"agg_nacional","article","tecnologia","desenvolvimento",904,0.696
"agg_nacional","article","tecnologia","tecnologica",645,0.682
"agg_nacional","article","inovacao","tecnologica",581,0.613
"agg_nacional","article","tecnologia","ciencia",498,0.594
"agg_nacional","article","desenvolvimento","projeto",555,0.579
"agg_nacional","article","inovacao","empresas",544,0.571
"agg_nacional","article","inovacao","projeto",572,0.561
"agg_nacional","article","desenvolvimento","atividades",523,0.558
"agg_nacional","article","tecnologia","empresas",526,0.553
"agg_nacional","article","tecnologica","ciencia",317,0.551
"agg_nacional","article","empresas","tecnologica",355,0.545
"agg_nacional","article","inovacao","ciencia",453,0.539
"agg_nacional","article","desenvolvimento","tecnologico",376,0.536
"agg_nacional","article","tecnologia","tecnologico",399,0.536
"agg_nacional","article","desenvolvimento","tecnologica",473,0.531
"agg_nacional","article","inovacao","atividades",528,0.529
"agg_nacional","article","ciencia","tecnologico",239,0.528
"agg_nacional","article","desenvolvimento","empresas",468,0.523
"agg_nacional","article","servicos","produtos",201,0.521
"agg_nacional","article","tecnologia","atividades",513,0.515
"agg_nacional","article","projeto","financiamento",337,0.51
"agg_nacional","article","recursos","financiamento",308,0.509
"agg_nacional","article","tecnologia","projeto",515,0.506
"agg_nacional","article","desenvolvimento","ciencia",398,0.504
"agg_nacional","article","atividades","tecnologica",341,0.5
"agg_nacional","article","projeto","recursos",343,0.499
"agg_nacional","article","tecnologia","transferencia",383,0.494
"agg_nacional","article","projeto","atividades",360,0.491
"agg_nacional","article","atividades","apoio",277,0.489
"agg_nacional","article","recursos","apoio",259,0.488
"agg_nacional","article","projeto","apoio",280,0.484
"agg_nacional","article","inovacao","recursos",451,0.483
"agg_nacional","article","atividades","recursos",324,0.482
"agg_nacional","article","atividades","empresas",324,0.472
"agg_nacional","article","desenvolvimento","financiamento",398,0.472
"agg_nacional","article","atividades","servicos",285,0.47
"agg_nacional","article","apoio","icts",195,0.466
"agg_nacional","article","empresas","fomento",241,0.465
"agg_nacional","article","tecnologica","instituicao",256,0.461
"agg_nacional","article","tecnologica","tecnologico",233,0.457
"agg_nacional","article","desenvolvimento","recursos",400,0.456
"agg_nacional","article","ciencia","instituicao",224,0.455
"agg_nacional","article","desenvolvimento","servicos",360,0.454
"agg_nacional","article","desenvolvimento","entidades",345,0.454
"agg_nacional","article","inovacao","apoio",357,0.453
"agg_nacional","article","inovacao","instituicao",367,0.452
"agg_nacional","article","empresas","entidades",251,0.451
"agg_nacional","article","empresas","tecnologico",231,0.45
"agg_nacional","article","inovacao","tecnologico",336,0.45
"agg_nacional","article","apoio","fomento",192,0.448
"agg_nacional","article","projeto","empresas",314,0.448
"agg_nacional","article","transferencia","direito",178,0.447
"agg_nacional","article","fomento","icts",178,0.444
"agg_nacional","article","recursos","transferencia",232,0.444
"agg_nacional","article","transferencia","intelectual",167,0.443
"agg_nacional","article","tecnologia","instituicao",358,0.442
"agg_nacional","article","inovacao","fomento",331,0.439
"agg_nacional","article","tecnologia","financiamento",393,0.439
"agg_nacional","article","inovacao","entidades",354,0.438
"agg_nacional","article","tecnologia","entidades",353,0.437
"agg_nacional","article","projeto","execucao",219,0.437
"agg_nacional","article","empresas","financiamento",269,0.436
"agg_nacional","article","atividades","icts",229,0.432
"agg_nacional","article","atividades","instituicao",252,0.431
"agg_nacional","article","tecnologia","servicos",362,0.43
"agg_nacional","article","projeto","tecnologica",298,0.427
"agg_nacional","article","desenvolvimento","instituicao",326,0.427
"agg_nacional","article","empresas","icts",216,0.426
"agg_federal","article","medida","provisoria",102,0.986
"agg_federal","article","pessoa","juridica",92,0.944
"agg_federal","article","contribuicao","cofins",61,0.919
"agg_federal","article","tecnologia","inovacao",50,0.725
"agg_federal","article","provisoria","incluido",61,0.684
"agg_federal","article","medida","incluido",61,0.674
"agg_federal","article","desenvolvimento","inovacao",42,0.662
"agg_federal","article","tecnologia","desenvolvimento",47,0.655
"agg_federal","article","medida","revogado",42,0.558
"agg_federal","article","servicos","bens",27,0.557
"agg_federal","article","receita","venda",31,0.556
"agg_federal","article","provisoria","revogado",41,0.552
"agg_federal","article","cento","venda",27,0.499
"agg_federal","article","receita","cento",30,0.448
"agg_federal","article","incluido","revogado",29,0.447
"agg_federal","article","tecnologia","servicos",28,0.444
"agg_federal","article","pessoa","receita",36,0.436
"agg_federal","article","cofins","venda",23,0.435
"agg_federal","article","juridica","receita",35,0.43
"agg_federal","article","pessoa","venda",28,0.42
"agg_federal","article","bens","venda",19,0.418
"agg_federal","article","servicos","venda",20,0.417
"agg_federal","article","juridica","venda",27,0.411
"agg_federal","article","contribuicao","venda",23,0.407
"agg_federal","article","regulamento","tecnologia",32,0.391
"agg_federal","article","contribuicao","cento",26,0.383
"agg_federal","article","provisoria","receita",32,0.381
"agg_federal","article","pessoa","contribuies",27,0.38
"agg_federal","article","cento","cofins",24,0.378
"agg_federal","article","medida","receita",32,0.376
"agg_federal","article","juridica","contribuies",26,0.372
"agg_federal","article","juridica","servicos",26,0.372
"agg_federal","article","pessoa","bens",25,0.37
"agg_federal","article","vide","vigorar",12,0.368
"agg_federal","article","juridica","contribuicao",30,0.363
"agg_federal","article","pessoa","contribuicao",30,0.358
"agg_federal","article","provisoria","cento",29,0.356
"agg_federal","article","aplica","cofins",20,0.352
"agg_federal","article","pessoa","servicos",25,0.352
"agg_federal","article","medida","cento",29,0.351
"agg_federal","article","pessoa","cento",28,0.349
"agg_federal","article","vide","cofins",23,0.347
"agg_federal","article","contribuicao","aplica",21,0.346
"agg_federal","article","desenvolvimento","servicos",20,0.345
"agg_federal","article","medida","vide",29,0.336
"agg_federal","article","regulamento","desenvolvimento",25,0.332
"agg_federal","article","juridica","bens",22,0.331
"agg_federal","article","aplica","produtos",16,0.331
"agg_federal","article","juridica","cento",26,0.329
