"recorte","unidade","termo","frequencia","grau","forca","intermediacao","comunidade"
"agg_nacional","article","inovacao",1426,13,7.048,32,2
"agg_nacional","article","tecnologia",1389,13,7.121,60,2
"agg_nacional","article","desenvolvimento",1236,13,6.916,25,2
"agg_nacional","article","projeto",766,10,4.943,20,2
"agg_nacional","article","atividades",731,11,5.369,11,2
"agg_nacional","article","empresas",679,11,5.341,13,2
"agg_nacional","article","recursos",650,7,3.361,7,2
"agg_nacional","article","tecnologica",648,9,4.767,0,2
"agg_nacional","article","financiamento",609,5,2.365,0,2
"agg_nacional","article","servicos",536,4,1.875,20,2
"agg_nacional","article","ciencia",510,6,3.17,1,2
"agg_nacional","article","entidades",496,4,1.78,0,2
"agg_nacional","article","instituicao",482,6,2.667,0,2
"agg_nacional","article","apoio",450,6,2.829,4,2
"agg_nacional","article","transferencia",439,4,1.827,39,1
"agg_nacional","article","fomento",416,4,1.796,0,2
"agg_nacional","article","tecnologico",402,6,2.956,0,2
"agg_nacional","article","icts",394,4,1.768,0,2
"agg_nacional","article","direito",384,1,0.447,0,1
"agg_nacional","article","execucao",346,1,0.437,0,2
"agg_nacional","article","intelectual",327,1,0.443,0,1
"agg_nacional","article","produtos",323,1,0.521,0,2
"agg_federal","article","medida",105,6,3.28,6,3
"agg_federal","article","provisoria",102,6,3.277,18,3
"agg_federal","article","pessoa",99,11,4.533,13,2
"agg_federal","article","juridica",96,10,4.187,14,2
"agg_federal","article","regulamento",88,5,1.658,9,1
"agg_federal","article","incluido",81,5,2.417,6,3
"agg_federal","article","tecnologia",79,7,3.128,42,1
"agg_federal","article","vide",75,6,2.014,25,3
"agg_federal","article","contribuicao",73,7,3.1,14,2
"agg_federal","article","receita",72,11,4.195,62,2
"agg_federal","article","desenvolvimento",68,4,1.994,0,1
"agg_federal","article","cento",67,11,4.024,39,2
"agg_federal","article","aplica",64,5,1.637,25,2
"agg_federal","article","cofins",62,7,3.075,18,2
"agg_federal","article","inovacao",62,3,1.691,0,1
"agg_federal","article","revogado",62,4,1.88,0,3
"agg_federal","article","produtos",58,1,0.331,0,2
"agg_federal","article","valor",56,3,0.934,0,2
"agg_federal","article","contribuies",55,3,1.072,0,2
"agg_federal","article","servicos",53,8,3.12,42,2
"agg_federal","article","vigorar",53,1,0.368,0,3
"agg_federal","article","partir",52,1,0.303,0,2
"agg_federal","article","bens",48,5,1.978,0,2
"agg_federal","article","venda",48,9,3.873,43,2
"agg_federal","article","podero",46,1,0.294,0,1
"agg_estadual","article","tecnologia",984,11,6.624,47,1
"agg_estadual","article","inovacao",960,12,6.997,40,1
"agg_estadual","article","desenvolvimento",826,12,6.837,24,1
"agg_estadual","article","atividades",545,11,5.722,25,1
"agg_estadual","article","tecnologica",524,9,5.07,0,1
"agg_estadual","article","projeto",498,12,6.188,28,1
"agg_estadual","article","empresas",485,11,5.653,14,1
"agg_estadual","article","recursos",471,9,4.397,3,1
"agg_estadual","article","financiamento",419,5,2.467,0,1
"agg_estadual","article","ciencia",389,6,3.343,1,1
"agg_estadual","article","apoio",370,8,4.185,27,1
"agg_estadual","article","instituicao",367,7,3.319,0,1
"agg_estadual","article","icts",346,4,1.939,0,1
"agg_estadual","article","servicos",337,1,0.482,0,1
"agg_estadual","article","transferencia",321,2,1.027,20,1
"agg_estadual","article","tecnologico",316,7,3.626,0,1
"agg_estadual","article","fomento",313,3,1.471,1,1
"agg_estadual","article","entidades",311,3,1.398,0,1
"agg_estadual","article","direito",288,1,0.486,0,1
"agg_estadual","article","estimulo",271,1,0.51,0,1
"agg_estadual","article","intelectual",262,1,0.892,0,2
"agg_estadual","article","execucao",258,2,0.912,0,1
"agg_estadual","article","fundacao",249,1,0.633,0,1
